name,state,lat,lng,base_depth,mid_depth,summit_depth,surface_condition,snowfall_7d,snowfall_24h,lifts_open,lifts_total,runs_open,runs_total,status,last_updated,scraped_at,url
Vail,CO,39.6403,-106.3742,83,0,0,,15.0,0.0,7,33,13,277,Open,Apr 07,2026-04-07T11:42:25Z,https://www.onthesnow.com/colorado/vail/skireport
Breckenridge,CO,39.4817,-106.0384,166,30,0,,7.0,0,15,35,24,188,Open,Apr 06,2026-04-07T11:42:25Z,https://www.onthesnow.com/colorado/breckenridge/skireport
Keystone,CO,39.6045,-105.9498,141,0,0,,8.0,0,0,0,0,0,Closed,Apr 06,2026-04-07T11:42:25Z,https://www.onthesnow.com/colorado/keystone/skireport
Steamboat,CO,40.457,-106.804,98,0,0,,16.0,0,0,0,0,0,Closed,Apr 06,2026-04-07T11:42:25Z,https://www.onthesnow.com/colorado/steamboat/skireport
Beaver Creek,CO,39.6042,-106.5165,155,0,0,,0.0,0,0,0,0,0,Closed,Mar 30,2026-04-07T11:42:25Z,https://www.onthesnow.com/colorado/beaver-creek/skireport
Winter Park,CO,39.8868,-105.7625,81,0,0,,6.0,0,6,24,17,171,Open,Apr 06,2026-04-07T11:42:25Z,https://www.onthesnow.com/colorado/winter-park-resort/skireport
Copper Mountain,CO,39.5022,-106.1497,66,0,0,,7.0,0.0,14,24,67,150,Open,Apr 07,2026-04-07T11:42:25Z,https://www.onthesnow.com/colorado/copper-mountain-resort/skireport
Snowmass,CO,39.2084,-106.949,0,0,0,,0,0,0,0,0,0,Unknown,,2026-04-07T11:42:25Z,https://www.onthesnow.com/colorado/snowmass/skireport
Telluride,CO,37.9375,-107.8123,105,0,0,,13.0,0,0,0,0,0,Closed,Apr 06,2026-04-07T11:42:25Z,https://www.onthesnow.com/colorado/telluride/skireport
Aspen Mountain,CO,39.1869,-106.8182,0,0,0,,0,0,0,0,0,0,Unknown,,2026-04-07T11:42:25Z,https://www.onthesnow.com/colorado/aspen-mountain/skireport
Aspen Highlands,CO,39.1822,-106.8552,0,0,0,,0,0,0,0,0,0,Unknown,,2026-04-07T11:42:25Z,https://www.onthesnow.com/colorado/aspen-highlands/skireport
Crested Butte,CO,38.8986,-106.965,106,0,0,,22.0,0,15,15,0,0,Closed,Apr 06,2026-04-07T11:42:25Z,https://www.onthesnow.com/colorado/crested-butte-mountain-resort/skireport
Arapahoe Basin,CO,39.6426,-105.8719,139,30,0,,6.0,0,5,9,13,147,Open,Apr 06,2026-04-07T11:42:25Z,https://www.onthesnow.com/colorado/arapahoe-basin-ski-area/skireport
Loveland,CO,39.68,-105.8978,166,34,0,,8.0,0.0,4,10,41,94,Open,Apr 07,2026-04-07T11:42:25Z,https://www.onthesnow.com/colorado/loveland/skireport
Wolf Creek,CO,37.4747,-106.7934,220,0,0,,19.0,0,0,0,0,0,Closed,Apr 06,2026-04-07T11:42:25Z,https://www.onthesnow.com/colorado/wolf-creek-ski-area/skireport
Park City,UT,40.6461,-111.498,191,0,0,,13.0,0,0,0,0,0,Closed,Apr 06,2026-04-07T11:42:25Z,https://www.onthesnow.com/utah/park-city-mountain-resort/skireport
Snowbird,UT,40.583,-111.6538,0,0,0,,0,0,0,0,0,0,Unknown,,2026-04-07T11:42:25Z,https://www.onthesnow.com/utah/snowbird-ski-summer-resort/skireport
Alta,UT,40.5884,-111.6386,223,0,0,,24.0,0.0,5,8,97,118,Open,Apr 07,2026-04-07T11:42:25Z,https://www.onthesnow.com/utah/alta-ski-area/skireport
Deer Valley,UT,40.6374,-111.4783,206,0,0,,0.0,0,0,0,0,0,Closed,Mar 30,2026-04-07T11:42:25Z,https://www.onthesnow.com/utah/deer-valley-resort/skireport
Brighton,UT,40.598,-111.5832,182,0,0,,35.0,0.0,6,9,57,67,Open,Apr 07,2026-04-07T11:42:25Z,https://www.onthesnow.com/utah/brighton-resort/skireport
Solitude,UT,40.6199,-111.5927,160,0,0,,31.0,0,6,8,28,82,Open,Apr 06,2026-04-07T11:42:25Z,https://www.onthesnow.com/utah/solitude-mountain-resort/skireport
Snowbasin,UT,41.216,-111.8569,0,0,0,,0,0,0,0,0,0,Unknown,,2026-04-07T11:42:25Z,https://www.onthesnow.com/utah/snowbasin-resort/skireport
Mammoth Mountain,CA,37.6308,-119.0326,96,48,107,,9.0,0,17,25,114,180,Open,Apr 06,2026-04-07T11:42:25Z,https://www.onthesnow.com/california/mammoth-mountain-ski-area/skireport
Heavenly,CA,38.9353,-119.94,0,26,0,,9.0,0,7,27,13,111,Open,Apr 06,2026-04-07T11:42:25Z,https://www.onthesnow.com/california/heavenly-mountain-resort/skireport
Palisades Tahoe,CA,39.1968,-120.2354,0,10,52,,12.0,0,11,39,45,296,Open,Apr 06,2026-04-07T11:42:25Z,https://www.onthesnow.com/california/palisades-tahoe/skireport
Northstar,CA,39.2746,-120.121,100,0,0,,17.0,0,0,0,0,0,Closed,Apr 06,2026-04-07T11:42:25Z,https://www.onthesnow.com/california/northstar-california/skireport
Bear Mountain,CA,34.2275,-116.859,55,0,0,,0.0,0,0,0,0,0,Closed,Mar 30,2026-04-07T11:42:25Z,https://www.onthesnow.com/california/bear-mountain/skireport
Snow Summit,CA,34.2326,-116.8728,45,0,0,,0.0,0,0,0,0,0,Closed,Mar 23,2026-04-07T11:42:25Z,https://www.onthesnow.com/california/snow-summit/skireport
Sugar Bowl,CA,39.3049,-120.3344,43,0,0,,0.0,0,5,12,0,0,Closed,Apr 06,2026-04-07T11:42:25Z,https://www.onthesnow.com/california/sugar-bowl-resort/skireport
